College,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Tuition,Time,Managers,Year,Enrollment
Dawson Community College,,,,,,,,,,3113,,,2013,266
Dawson Community College,,,,,,,,,,3359,,,2014,309
Dawson Community College,,,,,,,,,,3570,,,2015,269
Dawson Community College,,,,,,,,,,3570,,,2016,236
Flathead Valley Community College,,,,,,,,,,3730,,,2013,1773
Flathead Valley Community College,,,,,,,,,,3820,,,2014,1626
Flathead Valley Community College,,,,,,,,,,3836,,,2015,1526
Flathead Valley Community College,,,,,,,,,,3965,,,2016,1472
Great Falls College Montana State University,,,,,,,,,,3086,,,2013,1409
Great Falls College Montana State University,,,,,,,,,,3094,,,2014,1379
Great Falls College Montana State University,,,,,,,,,,3130,,,2015,1282
Great Falls College Montana State University,,,,,,,,,,3130,,,2016,1220
Helena College University of Montana,,,,,,,,,,3061,,,2013,1118
Helena College University of Montana,,,,,,,,,,3061,,,2014,970
Helena College University of Montana,,,,,,,,,,3070,,,2015,940
Helena College University of Montana,,,,,,,,,,3079,,,2016,857
Highlands College of Montana Tech,,,,,,,,,,3226,,,2013,411
Highlands College of Montana Tech,,,,,,,,,,3236,,,2014,386
Highlands College of Montana Tech,,,,,,,,,,3303,,,2015,361
Highlands College of Montana Tech,,,,,,,,,,3324,,,2016,362
Miles Community College,,,,,,,,,,3810,,,2013,351
Miles Community College,,,,,,,,,,3900,,,2014,357
Miles Community College,,,,,,,,,,3945,,,2015,360
Miles Community College,,,,,,,,,,3990,,,2016,382
Montana State University,2134895,26357,28.1,27.6,102,103,0,2,10,7818,0.130555556,Gibson,2013,12577
Montana State University,2420171,29879,28.5,27.6,102,101,0,4,15,7866,0.121527778,Gonzalez,2014,12971
Montana State University,2001392,24709,28.8,26.6,95,96,0,1,10,7915,0.121527778,Gonzalez,2015,13108
Montana State University,2464473,30426,28.3,27.7,103,103,0,3,12,7953,0.129861111,Showalter,2016,13488
Montana State University-Billings,,,,,,,,,,6625,,,2013,3396
Montana State University-Billings,,,,,,,,,,6659,,,2014,3265
Montana State University-Billings,,,,,,,,,,6687,,,2015,3119
Montana State University-Billings,,,,,,,,,,6707,,,2016,2875
Montana State University-Northern,,,,,,,,,,4818,,,2013,1156
Montana State University-Northern,,,,,,,,,,4818,,,2014,1148
Montana State University-Northern,,,,,,,,,,4871,,,2015,1105
Montana State University-Northern,,,,,,,,,,4922,,,2016,1095
Montana Tech of the University of Montana,,,,,,,,,,7348,,,2013,2094
Montana Tech of the University of Montana,,,,,,,,,,7378,,,2014,2162
Montana Tech of the University of Montana,,,,,,,,,,7463,,,2015,2239
Montana Tech of the University of Montana,,,,,,,,,,7507,,,2016,2255
The University of Montana-Western,,,,,,,,,,4141,,,2013,1439
The University of Montana-Western,,,,,,,,,,4152,,,2014,1410
The University of Montana-Western,,,,,,,,,,4226,,,2015,1355
The University of Montana-Western,,,,,,,,,,4284,,,2016,1352
University of Montana,2177617,26884,28.3,27.4,103,103,0,1,12,6848,0.123611111,Gibson,2013,11055
University of Montana,2080145,25681,26.6,27.1,103,104,0,2,5,6903,0.131944444,Hale,2014,10543
University of Montana,2354305,29065,26.8,27.3,98,97,0,3,8,6961,0.127777778,Gonzalez,2015,10342
University of Montana,2357561,29106,27.8,27.9,103,102,0,5,14,7019,0.125694444,Showalter,2016,9903
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,