college,tuition,year,enrollment,
University of Montana,15964,2013,11630,
Montana State University,16749,2013,13055,
Caroll College,40972,2013,1376,
University of Montana,15964,2014,13952,
Montana State University,16749,2014,15421,
Caroll College,40972,2014,1376,
University of Montana,15964,2015,13358,
Montana State University,16749,2015,15688,
Caroll College,40972,2015,1440,
University of Montana,15964,2016,12419,
Montana State University,16749,2016,16440,
Caroll College,40972,2016,1376,
,,,,
,,,,
,,,,
,,,,
,,,,